question,tweet_id
Will Memphis Depay complete his Corinthians free transfer?,1832563499995725843
What formal steps is Memphis Depay ahead of?,1832563499995725843
Is Memphis Depay currently in attendance for a Dutch national team game?,1832563499995725843
Is Julian Nagelsmann saying Musiala and Wirtz will win Ballon d'Or?,1832553657738358953
Can both Musiala and Wirtz potentially win Ballon d'Or?,1832553657738358953
Will Florian Wirtz potentially win the Ballon d'Or?,1832553657738358953
Who gave three assists and one goal tonight?,1832537271574098426
What was Jamal Musiala's performance like today?,1832537271574098426
"According to Kimmich, what should be included on the Ballon d'Or list?",1832537271574098426
Is Dani Olmo expected to be ready for the next games?,1832524667846099038
Was further testing conducted today on Dani Olmo?,1832524667846099038
Did @martinezferran report that Dani Olmo will be ready for the next games?,1832524667846099038
Netherlands gets first start,1832496480805859636
Joshua Zirkzee makes his goals,1832496480805859636
Zirkzee scores two goals this season,1832496480805859636
Luis de la Fuente believe playing too many games is lucky?,1832474183751573642
Lamine Yamal play 180 mins in September?,1832474183751573642
National team play to win?,1832474183751573642
Does De La Fuente say Dani Olmo suffered a strong blow against Serbia?,1832470737380078019
Is it certain that Dani Olmo won't train with his team today?,1832470737380078019
How does De La Fuente's statement affect Dani Olmo's availability for training?,1832470737380078019
André Cury said what about Estevão's ability to adapt?,1832405052008624564
What type of play does Chelsea see Estevão playing as?,1832405052008624564
Can Estevão develop more by playing in the middle?,1832405052008624564
Does Adrien Rabiot have plans to accept proposals from Turkey?,1832379053312995550
What is Adrien Rabiot's position on accepting proposals from Turkey?,1832379053312995550
Are there any current proposals from Turkey that Adrien Rabiot has considered?,1832379053312995550
Tottenham had Patrick Dorgu on their shortlist this summer?,1832363448274968913
Chelsea considered signing a left back via Strasbourg in July?,1832363448274968913
Lecce wanted how much money for Dorgu?,1832363448274968913
What was Vitor Roque's experience like at Barça?,1832329206019322054
How did Vitor Roque find his opportunities at Barça when he arrived?,1832329206019322054
What is Vitor Roque focusing on now with Betis?,1832329206019322054
Who is joining Chelsea in summer 2025?,1832325993853223139
What are Kendry Páez and Willian Estevão's plans for the future?,1832325993853223139
Are Kendry Páez and Willian Estevão currently playing?,1832325993853223139
What did De Bruyne say about the PFA and other player associations?,1832321152599126453
What are the reasons UEFA and FIFA keep adding extra matches?,1832321152599126453
Does money play a louder role in football decisions?,1832321152599126453
Does Kevin De Bruyne think the real problem will emerge after the Club World Cup?,1832312849827557516
How many weeks will there be between the Club World Cup final and the first Premier League match?,1832312849827557516
Will the team have 80 matches to prepare for after a three-week rest?,1832312849827557516
Will Jonathan Tah sign a new deal at Bayer Leverkusen?,1832305298440102239
Why is Jonathan Tah's decision to leave Bayer Leverkusen made?,1832305298440102239
What experience is Jonathan Tah looking for in his future club?,1832305298440102239
Who is Memphis Depay?,1832297749431124383
What is the duration of his move to Corinthians?,1832297749431124383
What is the valid date range for his agreement?,1832297749431124383
Is Manuel Ugarte starting for Uruguay tonight?,1832181785855205702
Will Manuel Ugarte build his fitness within weeks or months?,1832181785855205702
What was Erik ten Hag's concern about Manuel Ugarte's performance last week?,1832181785855205702
Iker Muniain signed with San Lorenzo for free,1832171498829750612
What transfer fee did Athletic Club receive from San Lorenzo?,1832171498829750612
Will Iker Muniain play as a starter for San Lorenzo?,1832171498829750612
What is the nature of Riccardo Calafiori's injury?,1832169279665422459
Is Spalletti confident that Calafiori will be back for the next game?,1832169279665422459
Does Italy medical staff believe Calafiori will return with them?,1832169279665422459
Luciano Spalletti is saying what about Sandro Tonali?,1832160169725145599
What did Luciano Spalletti have no doubts about?,1832160169725145599
Is Sandro Tonali's assist tonight a result of his being back from injury?,1832160169725145599
Musiala's contract expiring in June 2026 will lead to a new deal with FC Bayern right?,1832156181239906517
Will Bellingham's decision to play abroad impact Musiala's future plans?,1832156181239906517
What changes can Musiala expect in the world of football by June 2026?,1832156181239906517
Who has scored 5 goals in 4 games for club and country this season?,1832129154277339546
What teams has Bradley Barcola scored against so far?,1832129154277339546
How many goals did Bradley Barcola score after opening the score vs Italy?,1832129154277339546
Is Flamengo involved in talks with Martial?,1832123375461748974
Are talks between Flamengo and Martial ongoing?,1832123375461748974
Did a revelation about Flamengo and Martial's talks happen yesterday?,1832123375461748974
André Gomes returns to Lille on free transfer as former #EFC midfielder signs until June 2026.,1832122087814668726
Who will André Gomes join at Lille?,1832122087814668726
What is the duration of André Gomes' new contract?,1832122087814668726
Tudor Mendel joins Ipswich Town,1832094282007900179
Anderlect player leaves for Ipswich Town,1832094282007900179
Mendel signs with Ipswich Town,1832094282007900179
Corinthians and whom have reached an agreement in principle?,1832093320228810844
What are the key steps to follow ahead of Memphis' deal being signed?,1832093320228810844
"Will Memphis' deal be valid until 2026, as reported by @geglobo?",1832093320228810844
Who is Memphis Depay playing for?,1832087535377666226
What team is Memphis Depay associated with?,1832087535377666226
Is Corinthians a Brazilian club?,1832087535377666226
Fenerbahçe to pay $15m package to Boca Juniors for Cristian Medina?,1832083792259162142
What is the duration of Cristian Medina's deal with Fenerbahçe?,1832083792259162142
Are add-ons part of the package agreed for Cristian Medina?,1832083792259162142
Who said going to Saudi at 16 is not a transfer based on the sporting aspect?,1832064223800651805
What was the reason for Steven Bergwijn's reaction to Koeman's words on his move to Saudi?,1832064223800651805
Does Ronald Koeman stick to his original words?,1832064223800651805
Who were interested in signing Tomás Palacios?,1832062453636608098
What is the fee Inter paid for Tomás Palacios?,1832062453636608098
How did Inter manage to get the deal done?,1832062453636608098
What time did Osimhen deal start on?,1832019843899330915
Did Napoli allow Gala loan move immediately after starting negotiations with Osimhen?,1832019843899330915
"Why was speed important in completing the deal, according to George Gardi?",1832019843899330915
Did Diego Simeone call Sofyan Amrabat several times?,1832014555582435789
Was a buy obligation clause included in Atlético Madrid's loan deal offer?,1832014555582435789
Why did Fiorentina only accept Fenerbahçe's bid?,1832014555582435789
Is CSKA Moscow interested in signing Dejan Joveljic?,1832004731788538323
Will LA Galaxy let Dejan Joveljic leave?,1832004731788538323
Is the deal between CSKA Moscow and Dejan Joveljic going to happen?,1832004731788538323
Bernardo Silva and his team only have one day off for the English League Cup game,1831989994640028156
What is the frequency of Bernardo Silva's games,1831989994640028156
Will Bernardo Silva qualify in the Champions League,1831989994640028156
Why did Steven Bergwijn move to Saudi?,1831982072086647022
What is gigantic financial wise about playing for this team?,1831982072086647022
Who will he play with on his new team?,1831982072086647022
Bergwijn does not want to play for Koeman anymore because of what?,1831980144707383333
What did Bergwijn expect Ronald Koeman to do before making public comments about him?,1831980144707383333
Did Bergwijn talk to Ronald Koeman about his media portrayal?,1831980144707383333
Who sold Conor Gallagher?,1831957505997422804
Why did Chelsea sell Conor Gallagher?,1831957505997422804
What are the top players that Chelsea brought in on long contracts?,1831957505997422804
Who left Chelsea?,1831950459801673735
What is Conor Gallagher looking back on?,1831950459801673735
What was a dream come true for Conor Gallagher?,1831950459801673735
"Conor Gallagher says he doesn't fit Enzo Maresca's system, is that true?",1831943162115641823
What does Conor Gallagher think about his playing time under Pochettino?,1831943162115641823
Does Conor Gallagher believe the fans appreciated his performance on the pitch?,1831943162115641823
Who expects Éder Militão to miss Real Sociedad game?,1831935369010422136
What is the reason for Éder Militão's expected absence from the game?,1831935369010422136
How long will Éder Militão be out due to muscle injury?,1831935369010422136
Messi's letter to Di Maria say everything they needed to say,1831852340707783098
Who did Messi's shared moments end with,1831852340707783098
Will Di Maria see Messi soon,1831852340707783098
What does Ángel Di Maria mean by 'cheering the team on from up there',1831836654740631984
What Copa Américas and World Cups will Ángel Di Maria go to,1831836654740631984
Does Ángel Di Maria think Argentina's team has a lot of guts,1831836654740631984
Who retired from international football?,1831836261247807814
Ángel Di Maria fans paying tribute to whom?,1831836261247807814
What is being paid tribute to by Argentina fans?,1831836261247807814
Cristiano says scoring 900th goal is hard to work for every day?,1831801620893753472
What milestone does Cristiano say it's in his career?,1831801620893753472
Records haunt Cristiano why?,1831801620893753472
Cristiano says Portugal winning Euros is equivalent to winning a World Cup?,1831801261798330715
What does Cristiano want from football?,1831801261798330715
Why are trophies important to Cristiano?,1831801261798330715
Tchouameni and Mendy also leave national team camp?,1831778848595140819
Éder Militão leaves national team camp due to muscle injury?,1831778848595140819
What is the reason for Éder Militão's absence from the next two games?,1831778848595140819
Cristiano Ronaldo scores how many career goals?,1831777023330808281
Is 900th goal for club and country combined?,1831777023330808281
What does 'legend' refer to?,1831777023330808281
Viktor Gyokeres has 8 goals with club and country?,1831757766345814321
How many assists does Viktor Gyokeres have with club and country?,1831757766345814321
What is the current date mentioned in the tweet?,1831757766345814321
Who is Adrien Rabiot?,1831726573096960348
Why was he solicited by several teams?,1831726573096960348
Which club does Deschamps hope can bring him back to?,1831726573096960348
